epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_score,val_score
1,1.0849342107772828,0.7934298515319824,0.6013071895424836,0.48717948717948717,0.36004784688995217,0.0
2,0.7689584612846374,2.552174687385559,0.6078431372549019,0.48717948717948717,0.3684210526315789,0.0
3,0.5400519430637359,3.08410108089447,0.7450980392156863,0.5128205128205128,0.5545112781954887,0.05
4,0.5967730700969696,1.6812634468078613,0.7254901960784313,0.48717948717948717,0.525974025974026,0.08947368421052632
5,0.49683297276496885,1.6494140625,0.7843137254901961,0.4358974358974359,0.6109022556390977,0.1736842105263158
6,0.4768952429294586,2.3501319885253906,0.7647058823529411,0.5128205128205128,0.5847573479152427,0.09473684210526316
7,0.3576248049736023,1.2263035774230957,0.8235294117647058,0.717948717948718,0.6775461380724539,0.5131578947368421
8,0.3448506772518158,1.1522254645824432,0.8431372549019608,0.6666666666666666,0.7088174982911825,0.4421052631578947
9,0.34227046370506287,0.5669530928134918,0.8169934640522876,0.7948717948717948,0.6654135338345865,0.631578947368421
10,0.26137275993824005,0.48829227685928345,0.8823529411764706,0.6923076923076923,0.7764866712235133,0.47368421052631576
11,0.3535345643758774,0.5160070955753326,0.8431372549019608,0.7692307692307693,0.7108680792891319,0.5815789473684211
12,0.33953097462654114,0.8944417238235474,0.8431372549019608,0.6923076923076923,0.7108680792891319,0.47368421052631576
13,0.2829031467437744,1.0009286105632782,0.8758169934640523,0.5128205128205128,0.7643540669856459,0.0
14,0.242998006939888,0.6614011228084564,0.9084967320261438,0.6666666666666666,0.8253588516746412,0.3157894736842105
15,0.26923076510429383,0.34611450135707855,0.8888888888888888,0.8461538461538461,0.7894736842105263,0.6842105263157895
16,0.21570502519607543,0.2995169907808304,0.9019607843137255,0.8974358974358975,0.8128844839371155,0.7894736842105263
17,0.22036983370780944,0.200933575630188,0.9215686274509803,0.8974358974358975,0.8492822966507177,0.8
18,0.169760799407959,0.5696175545454025,0.9411764705882353,0.717948717948718,0.8843130553656869,0.45
19,0.17730464190244674,0.4521518647670746,0.9411764705882353,0.7435897435897436,0.8843130553656869,0.5
20,0.17487143576145173,0.2899232506752014,0.9477124183006536,0.8974358974358975,0.8961038961038961,0.8
21,0.13320575654506683,0.520664170384407,0.9673202614379085,0.7692307692307693,0.935064935064935,0.5894736842105263
22,0.1386849910020828,0.3231208845973015,0.9411764705882353,0.9487179487179487,0.8843130553656869,0.9
23,0.11550476849079132,0.23784633725881577,0.9673202614379085,0.9230769230769231,0.935064935064935,0.85
24,0.12890930026769637,0.21363690495491028,0.9673202614379085,0.8974358974358975,0.9342105263157895,0.8
25,0.10601365864276886,0.19738201051950455,0.9673202614379085,0.9230769230769231,0.935064935064935,0.85
26,0.15505054593086243,0.2086740881204605,0.954248366013072,0.8974358974358975,0.9104579630895421,0.8
27,0.16831289529800414,0.17753386497497559,0.954248366013072,0.9230769230769231,0.9090909090909091,0.85
28,0.1205728828907013,0.16807780414819717,0.954248366013072,0.9230769230769231,0.9099453178400547,0.85
29,0.1253223977982998,0.17034275829792023,0.9673202614379085,0.9230769230769231,0.935064935064935,0.85
30,0.0979311004281044,0.1617181971669197,0.9738562091503268,0.9230769230769231,0.9473684210526315,0.85
31,0.18189816325902938,0.1680782549083233,0.9150326797385621,0.9230769230769231,0.836637047163363,0.85
32,0.1418757513165474,0.1565502993762493,0.9738562091503268,0.9230769230769231,0.9473684210526315,0.85
